"Height M","Weight kg","BMI","%Fat"
1.6002,49.4415716,19.30828653,23.9
1.6510000000000002,62.5957512,22.96416767,28.8
1.6510000000000002,75.7499308,27.78997102,32.4
1.5303499999999999,48.9879792,20.91741385,25.8
1.45415,43.091278,20.37844114,22.5
1.60655,52.6167184,20.38615236,22.1
1.5621,47.9673963,19.65750888,19.6
1.4986000000000002,45.5860362,20.29833307,25.3
1.524,47.8539982,20.60384599,22.8
1.4795500000000001,44.4520552,20.30638203,26.4
1.4732,46.0396286,21.21330769,33.7
1.5493999999999999,53.0703108,22.10673106,27.9
1.5176500000000002,65.8842961,28.60478302,33.5
1.5367000000000002,46.0396286,19.4963642,23.4
1.4605000000000001,43.5448704,20.41427119,21.8
1.524,62.368955,26.85335378,37.9
1.4605000000000001,45.8128324,21.47751448,31.3
1.58115,74.3891536,29.75524103,40.6
1.524,55.565069,23.923897,36.3
1.4986000000000002,46.1530267,20.5507999,29.8
1.4859,47.8539982,21.67399972,31.9
1.4795500000000001,42.1840932,19.27034213,31.3
1.5875,45.8128324,18.17856825,21.6
1.5557500000000002,44.6788514,18.45960401,24.6
1.58115,42.6376856,17.05483327,20.1
1.56845,43.5448704,17.70091209,24.6
1.4986000000000002,37.3079749,16.61231737,18.1
1.524,39.3491407,16.94202502,22.9
1.4414500000000001,39.0089464,18.7743563,26.2
1.4859,40.5965198,18.38694763,27.2
1.4605000000000001,38.1017616,17.86248729,17.7
1.4986000000000002,40.3697236,17.97563824,20.8
1.5557500000000002,37.1945768,15.36738608,17.5
1.5303499999999999,44.1118609,18.83535646,21.3
1.45415,33.4524395,15.82010562,18.7
1.6319500000000002,47.1736096,17.71272628,28.8
1.41605,30.0504965,14.98630183,17.1
1.3843,32.0916623,16.74679776,26.2
1.45415,34.8132167,16.46363534,20.4
1.50495,35.9471977,15.87160686,19.5
1.4859,39.9161312,18.0787865,21.7
1.4478,32.6586528,15.58049033,18.1
1.3335000000000001,30.5040889,17.15426117,29.8
1.36525,29.483506,15.81811598,20.6
1.5493999999999999,44.6788514,18.6112223,22.9
1.4478,34.9266148,16.66246883,19.3
1.4732,54.5444861,25.132022159999998,38.4
1.5875,52.5033203,20.83335916,27.9
1.4414500000000001,51.029145,24.55947771,36.4
1.6002,51.7095336,20.19398775,25.1
1.58115,60.3277892,24.13077474,39.7
1.41605,47.8539982,23.86497876,33.6
1.58115,83.914594,33.56536335,46
1.5493999999999999,69.9666277,29.14498517,38.9
1.6446500000000002,77.3375042,28.59191038,42.2
1.49225,58.2866234,26.17494163,36.7
1.59385,87.5433332,34.46102452,38
1.5493999999999999,45.8128324,19.08358835,23.3
1.4224,47.627202,23.54027766,35.9
1.61925,53.0703108,20.24062038,24.1
1.6637000000000002,80.7394472,29.1699536,40.8
1.4732,45.2458419,20.847561,25.7
1.49225,50.4621545,22.66118487,37.6
1.6510000000000002,81.9868263,30.07806744,35.9
1.5303499999999999,52.9569127,22.61211173,36.3
1.5875,61.234974,24.29808628,33
1.5303499999999999,73.3685707,31.32770084,40.5
1.5748,59.8741968,24.14286958,26.4
1.42875,47.9673963,23.49814928,27.3
1.60655,63.9565284,24.77971967,32.2
1.5493999999999999,46.7200172,19.46148119,19.6
1.4732,41.2769084,19.01882758,24.5
1.4986000000000002,45.35924,20.19734634,22.6
1.6637000000000002,57.2660405,20.68936316,30.2
1.4224,38.7821502,19.16851181,26.9
1.50495,46.9468134,20.72821843,30.2
1.3462,29.2567098,16.14382018,21
1.4224,35.8337996,17.71125653,19.4
1.4732,34.9266148,16.09285411,21.1
1.5176500000000002,38.555354,16.73945995,17.3
1.4605000000000001,40.3697236,18.92573058,20.5
1.4605000000000001,36.7409844,17.22454131,19.3
1.4224,37.1945768,18.38383589,28.7
1.4732,39.4625388,18.18283516,18.3
1.46685,36.7409844,17.07573388,15.6
1.5875,44.4520552,17.63861078,23.9
1.49225,41.6171027,18.68911202,24.5
1.49225,39.0089464,17.51785977,23.3
1.6002,41.2769084,16.11976215,20.1
1.4224,38.1017616,18.83222213,30.3
1.397,30.1638946,15.45591079,20.6
1.4478,38.555354,18.39363442,26
